+-----------------------+-----------+------------------+-----------+------------+
| staff_name            | staff_age | staff_experience | role      | day        |
| Caleb Turner          |        29 |                2 | helper    | 2027-06-15 |
| Brady Hamilton        |        41 |                2 | security  | 2027-06-15 |
| Daniel Spencer        |        34 |                1 | security  | 2027-06-15 |
| Simon Powell          |        47 |                4 | technical | 2027-06-15 |
| Nicole Brewer         |        47 |                3 | security  | 2027-06-15 |
| Mackenzie Perez       |        44 |                1 | security  | 2027-06-15 |
| James Harris          |        29 |                4 | technical | 2027-06-15 |
| Bryce Mitchell        |        35 |                4 | security  | 2027-06-15 |
| Simon Wright          |        48 |                3 | security  | 2027-06-15 |
| Michael Baker         |        40 |                4 | security  | 2027-06-15 |
| Stephanie Perkins     |        25 |                3 | security  | 2027-06-15 |
| Stephanie Lawson      |        39 |                4 | security  | 2027-06-15 |
| Jessica Spencer       |        41 |                3 | security  | 2027-06-15 |
| Benjamin Russell      |        30 |                3 | technical | 2027-06-15 |
| Max Cole              |        31 |                2 | technical | 2027-06-15 |
| Charlotte Ray         |        28 |                4 | helper    | 2027-06-15 |
| Eli Russell           |        29 |                5 | helper    | 2027-06-15 |
| Andrew King           |        25 |                1 | helper    | 2027-06-15 |
| Caleb Cole            |        43 |                1 | security  | 2026-12-05 |
| Olivia Myers          |        48 |                1 | security  | 2026-12-05 |
| Jocelyn Baker         |        36 |                4 | technical | 2026-12-05 |
| Brady Myers           |        34 |                4 | security  | 2026-12-05 |
| Naomi Perkins         |        36 |                4 | helper    | 2026-12-05 |
| Brady Moreno          |        37 |                3 | technical | 2026-12-05 |
| Bryce Spencer         |        49 |                5 | security  | 2026-12-05 |
| Vivian Adams          |        39 |                2 | security  | 2026-12-05 |
| Brandon Sullivan      |        32 |                2 | helper    | 2026-12-05 |
| Andrew Griffin        |        46 |                5 | technical | 2026-12-05 |
| Lucas Hanson          |        35 |                5 | helper    | 2026-12-05 |
| Isabel Hamilton       |        26 |                1 | security  | 2026-12-05 |
| Preston Hunt          |        27 |                1 | security  | 2026-12-05 |
| Noah Scott            |        49 |                1 | security  | 2026-12-05 |
| Brady Perkins         |        47 |                5 | security  | 2026-12-05 |
| Justin Turner         |        31 |                4 | helper    | 2026-12-05 |
| Emily Jenkins         |        47 |                4 | security  | 2026-12-05 |
| Brittany Allen        |        27 |                2 | helper    | 2026-12-05 |
| Daniel Reed           |        25 |                5 | helper    | 2026-12-05 |
| Lucas Perkins         |        37 |                1 | helper    | 2026-12-05 |
| Ava Hayes             |        32 |                5 | security  | 2026-12-05 |
| James Hunt            |        32 |                1 | security  | 2026-12-05 |
| Andrew Reed           |        30 |                5 | technical | 2026-12-05 |
| Liam Lee              |        31 |                5 | security  | 2026-12-05 |
| Emma Perkins          |        45 |                2 | technical | 2026-12-05 |
| Jessica Sullivan      |        33 |                5 | technical | 2025-09-03 |
| Benjamin Johnson      |        45 |                2 | helper    | 2025-09-03 |
| Jude Lewis            |        26 |                1 | technical | 2025-09-03 |
| Kevin Hale            |        42 |                5 | security  | 2025-09-03 |
| Valeria Olson         |        30 |                5 | technical | 2025-09-03 |
| Sarah Johnson         |        26 |                3 | security  | 2025-09-03 |
| Megan Warren          |        42 |                3 | security  | 2025-09-03 |
| Cole Ford             |        30 |                3 | technical | 2025-09-03 |
| Simon Davis           |        41 |                3 | security  | 2025-09-03 |
| Cole Reed             |        32 |                2 | security  | 2025-09-03 |
| Nathan Campbell       |        31 |                2 | helper    | 2025-09-03 |
| Ava Stevens           |        33 |                4 | security  | 2025-09-03 |
| James Olson           |        29 |                3 | security  | 2025-09-03 |
| John Green            |        49 |                1 | helper    | 2025-09-03 |
| Ava Myers             |        44 |                1 | helper    | 2025-09-03 |
| Emma Nelson           |        39 |                4 | security  | 2025-09-03 |
| Lauren Campbell       |        33 |                3 | security  | 2025-09-03 |
| Ashley Reed           |        31 |                1 | security  | 2025-09-03 |
| Caleb Brewer          |        27 |                3 | helper    | 2025-09-03 |
| Eli Myers             |        47 |                2 | helper    | 2025-09-03 |
| Caleb Smith           |        40 |                3 | security  | 2025-09-03 |
| Jocelyn Richards      |        26 |                1 | security  | 2025-09-03 |
| Jessica Andrews       |        43 |                2 | helper    | 2025-09-03 |
| Sarah Cole            |        30 |                3 | security  | 2025-09-03 |
| Matthew Adams         |        42 |                5 | technical | 2025-09-03 |
| Faith Lawson          |        34 |                1 | technical | 2028-06-22 |
| Delaney Lawson        |        47 |                4 | security  | 2028-06-22 |
| Caleb Barrett         |        33 |                5 | technical | 2028-06-22 |
| Ariana Powell         |        45 |                1 | security  | 2028-06-22 |
| James Campbell        |        46 |                3 | helper    | 2028-06-22 |
| Ava Perez             |        50 |                4 | security  | 2028-06-22 |
| Nathan Lee            |        35 |                2 | technical | 2028-06-22 |
| Liam Powell           |        41 |                3 | helper    | 2028-06-22 |
| Robert Olson          |        47 |                2 | technical | 2028-06-22 |
| Ariana Smith          |        45 |                4 | technical | 2028-06-22 |
| Andrew Diaz           |        49 |                1 | security  | 2028-06-22 |
| Ariana Perez          |        49 |                5 | security  | 2028-06-22 |
| Brittany Smith        |        31 |                5 | helper    | 2028-06-22 |
| Kevin Adams           |        45 |                4 | security  | 2028-06-22 |
| Charlotte Ellis       |        28 |                4 | helper    | 2028-06-22 |
| Lauren Stevens        |        50 |                3 | helper    | 2028-06-22 |
| Michael Hall          |        27 |                3 | security  | 2028-06-22 |
| Valeria Hamilton      |        31 |                4 | security  | 2028-06-22 |
| Lauren Clark          |        41 |                3 | security  | 2028-06-22 |
| Nicole Wright         |        29 |                5 | security  | 2028-06-22 |
| Justin Spencer        |        30 |                5 | security  | 2028-06-22 |
| John Richards         |        30 |                4 | security  | 2028-06-22 |
| Kylie Davis           |        47 |                3 | security  | 2028-06-22 |
| Nathan Armstrong      |        41 |                4 | helper    | 2028-06-22 |
| Kevin Perez           |        30 |                5 | helper    | 2028-06-22 |
| Kylie Lee             |        29 |                4 | security  | 2027-01-11 |
| William West          |        50 |                1 | security  | 2027-01-11 |
| Jessica Russell       |        36 |                5 | security  | 2027-01-11 |
| William Lee           |        30 |                2 | helper    | 2027-01-11 |
| Justin Lawson         |        30 |                2 | technical | 2027-01-11 |
| Miles Douglas         |        43 |                4 | helper    | 2027-01-11 |
| Lucas Barrett         |        49 |                2 | technical | 2027-01-11 |
| Cole Wilson           |        45 |                2 | security  | 2027-01-11 |
| John Stevens          |        28 |                5 | helper    | 2027-01-11 |
| Jocelyn Barrett       |        45 |                4 | helper    | 2027-01-11 |
| Robert Harris         |        48 |                3 | security  | 2027-01-11 |
| Delaney Hamilton      |        49 |                5 | security  | 2027-01-11 |
| Stephanie Spencer     |        37 |                5 | security  | 2027-01-11 |
| Caleb Baker           |        48 |                3 | technical | 2027-01-11 |
| Joshua Hale           |        42 |                1 | security  | 2027-01-11 |
| Michael Andrews       |        36 |                4 | security  | 2027-01-11 |
| Stephanie Myers       |        48 |                3 | helper    | 2027-01-11 |
| Olivia Lee            |        34 |                2 | security  | 2027-01-11 |
| Benjamin Smith        |        27 |                3 | helper    | 2027-01-11 |
| Brooklyn Wilson       |        36 |                4 | security  | 2027-01-11 |
| Lauren Lawson         |        45 |                2 | security  | 2027-01-11 |
| Jessica Green         |        33 |                2 | technical | 2027-01-11 |
| James Thompson        |        45 |                5 | security  | 2027-01-11 |
| Cole Green            |        39 |                1 | helper    | 2027-01-11 |
| Sophia King           |        33 |                4 | technical | 2027-01-11 |
| Brady Sullivan        |        27 |                1 | security  | 2025-08-07 |
| Jocelyn Campbell      |        42 |                1 | helper    | 2025-08-07 |
| Brandon Green         |        28 |                2 | technical | 2025-08-07 |
| Simon Young           |        50 |                3 | security  | 2025-08-07 |
| Miles Martinez        |        37 |                2 | security  | 2025-08-07 |
| Nathan Smith          |        25 |                1 | technical | 2025-08-07 |
| Benjamin Roberts      |        27 |                5 | security  | 2025-08-07 |
| Matthew Thompson      |        31 |                3 | helper    | 2025-08-07 |
| Leo West              |        46 |                3 | helper    | 2025-08-07 |
| Kevin Smith           |        50 |                5 | security  | 2025-08-07 |
| Rachel Torres         |        48 |                2 | security  | 2025-08-07 |
| David Russell         |        25 |                2 | security  | 2025-08-07 |
| Jude Bennett          |        47 |                2 | security  | 2025-08-07 |
| Brady Barrett         |        37 |                5 | security  | 2025-08-07 |
| Kevin Hamilton        |        47 |                4 | helper    | 2025-08-07 |
| Mackenzie Allen       |        37 |                3 | helper    | 2025-08-07 |
| Faith Barrett         |        41 |                2 | security  | 2025-08-07 |
| Brady Allen           |        42 |                2 | technical | 2025-08-07 |
| Charlotte Lewis       |        48 |                3 | helper    | 2025-08-07 |
| Jude Torres           |        48 |                3 | technical | 2025-08-07 |
| Caleb Spencer         |        50 |                5 | security  | 2025-08-07 |
| Anthony Campbell      |        43 |                3 | technical | 2025-08-07 |
| Brooklyn Stevens      |        49 |                1 | helper    | 2025-08-07 |
| Mia Crawford          |        34 |                4 | security  | 2025-08-07 |
| Megan Scott           |        49 |                1 | security  | 2025-08-07 |
| Daniel Campbell       |        32 |                5 | security  | 2026-04-20 |
| Nathan Perez          |        33 |                1 | security  | 2026-04-20 |
| Brittany Armstrong    |        39 |                4 | security  | 2026-04-20 |
| Ashley Hall           |        40 |                4 | helper    | 2026-04-20 |
| Joshua Wilson         |        25 |                4 | helper    | 2026-04-20 |
| Valeria Douglas       |        43 |                5 | helper    | 2026-04-20 |
| Benjamin Hale         |        36 |                4 | technical | 2026-04-20 |
| Sophia Barrett        |        34 |                1 | helper    | 2026-04-20 |
| Valeria Hale          |        35 |                1 | helper    | 2026-04-20 |
| Luna Campbell         |        44 |                5 | security  | 2026-04-20 |
| Brandon Baker         |        42 |                4 | technical | 2026-04-20 |
| Lucas Diaz            |        34 |                5 | technical | 2026-04-20 |
| Kylie Andrews         |        25 |                2 | security  | 2026-04-20 |
| Preston Russell       |        30 |                1 | technical | 2026-04-20 |
| Sarah Crawford        |        28 |                4 | security  | 2026-04-20 |
| Bryce Roberts         |        42 |                2 | security  | 2026-04-20 |
| Simon Lee             |        33 |                4 | security  | 2026-04-20 |
| Ariana Griffin        |        26 |                3 | security  | 2026-04-20 |
| Bryce Ray             |        49 |                5 | technical | 2026-04-20 |
| John Olson            |        31 |                5 | security  | 2026-04-20 |
| Emily Douglas         |        36 |                3 | security  | 2026-04-20 |
| Olivia Perez          |        25 |                4 | helper    | 2026-04-20 |
| Nathan Myers          |        41 |                1 | security  | 2026-04-20 |
| Joshua Campbell       |        42 |                1 | security  | 2026-04-20 |
| Andrew Bennett        |        29 |                5 | helper    | 2026-04-20 |
| Emily Davis           |        28 |                5 | security  | 2025-03-14 |
| Justin Baker          |        46 |                5 | security  | 2025-03-14 |
| Liam Martinez         |        42 |                1 | technical | 2025-03-14 |
| Leo Baker             |        26 |                3 | technical | 2025-03-14 |
| Jocelyn West          |        31 |                4 | technical | 2025-03-14 |
| Charlotte King        |        26 |                1 | security  | 2025-03-14 |
| Jessica Lawson        |        43 |                3 | security  | 2025-03-14 |
| James Ray             |        29 |                5 | security  | 2025-03-14 |
| Amanda Jenkins        |        36 |                1 | helper    | 2025-03-14 |
| Leo Armstrong         |        28 |                3 | security  | 2025-03-14 |
| Amanda Hayes          |        28 |                5 | helper    | 2025-03-14 |
| Charlotte Clark       |        47 |                3 | security  | 2025-03-14 |
| Eli Lee               |        38 |                5 | technical | 2025-03-14 |
| Emma Hayes            |        39 |                3 | helper    | 2025-03-14 |
| Noah Griffin          |        25 |                3 | helper    | 2025-03-14 |
| Simon Ellis           |        50 |                5 | technical | 2025-03-14 |
| Nicole Harris         |        46 |                4 | security  | 2025-03-14 |
| Kevin Cole            |        46 |                5 | security  | 2025-03-14 |
| Sophia Adams          |        46 |                3 | helper    | 2025-03-14 |
| Simon Cole            |        31 |                3 | security  | 2025-03-14 |
| Justin Jenkins        |        30 |                2 | helper    | 2025-03-14 |
| Ava Adams             |        40 |                3 | security  | 2025-03-14 |
| Nathan Ray            |        43 |                3 | security  | 2025-03-14 |
| Ava Campbell          |        33 |                2 | security  | 2025-03-14 |
| Bryce Lawson          |        44 |                2 | helper    | 2025-03-14 |
| Benjamin Bennett      |        26 |                1 | technical | 2025-05-09 |
| Sarah Young           |        46 |                3 | helper    | 2025-05-09 |
| Ashley Perez          |        38 |                1 | technical | 2025-05-09 |
| Brady Lawson          |        27 |                5 | security  | 2025-05-09 |
| Kylie Sullivan        |        33 |                1 | security  | 2025-05-09 |
| Miles Green           |        43 |                1 | helper    | 2025-05-09 |
| Brooklyn Griffin      |        34 |                2 | helper    | 2025-05-09 |
| Christopher Bennett   |        27 |                5 | helper    | 2025-05-09 |
| Sarah Brewer          |        35 |                4 | security  | 2025-05-09 |
| Brooklyn Cole         |        38 |                3 | helper    | 2025-05-09 |
| Rachel Crawford       |        43 |                4 | security  | 2025-05-09 |
| John Smith            |        47 |                2 | security  | 2025-05-09 |
| Ariana Jenkins        |        29 |                3 | security  | 2025-05-09 |
| Naomi Myers           |        32 |                1 | security  | 2025-05-09 |
| Noah Wright           |        44 |                5 | helper    | 2025-05-09 |
| Preston Ford          |        50 |                5 | technical | 2025-05-09 |
| Brooklyn Davis        |        49 |                2 | technical | 2025-05-09 |
| Matthew Harris        |        35 |                5 | helper    | 2025-05-09 |
| Leo Hunt              |        27 |                1 | security  | 2025-05-09 |
| Ariana Hanson         |        26 |                3 | technical | 2025-05-09 |
| Eli Lawson            |        29 |                4 | security  | 2025-05-09 |
| Bryce Smith           |        35 |                5 | security  | 2025-05-09 |
| Andrew Clark          |        48 |                3 | security  | 2025-05-09 |
| Emily Perkins         |        29 |                3 | security  | 2025-05-09 |
| Leo Lewis             |        45 |                4 | security  | 2025-05-09 |
| Ashley Sullivan       |        47 |                3 | security  | 2027-08-16 |
| Jocelyn Perkins       |        43 |                5 | technical | 2027-08-16 |
| Christopher Olson     |        43 |                1 | technical | 2027-08-16 |
| Noah Hanson           |        41 |                4 | security  | 2027-08-16 |
| Valeria Moreno        |        45 |                5 | security  | 2027-08-16 |
| Matthew Hamilton      |        49 |                1 | technical | 2027-08-16 |
| Camila Russell        |        25 |                3 | technical | 2027-08-16 |
| David Hale            |        36 |                1 | helper    | 2027-08-16 |
| Justin Harris         |        33 |                2 | technical | 2027-08-16 |
| Brady Adams           |        41 |                3 | security  | 2027-08-16 |
| Daniel Barrett        |        48 |                1 | helper    | 2027-08-16 |
| Ava Crawford          |        41 |                2 | security  | 2027-08-16 |
| Miles Crawford        |        34 |                3 | security  | 2027-08-16 |
| Ava Bennett           |        47 |                4 | security  | 2027-08-16 |
| Brittany Roberts      |        25 |                2 | helper    | 2027-08-16 |
| Isabel Young          |        36 |                5 | security  | 2027-08-16 |
| Nicole Mitchell       |        42 |                4 | helper    | 2027-08-16 |
| James Armstrong       |        33 |                5 | helper    | 2027-08-16 |
| Mackenzie Campbell    |        31 |                1 | helper    | 2027-08-16 |
| Eli Wright            |        41 |                4 | security  | 2027-08-16 |
| Kylie Stevens         |        26 |                4 | security  | 2027-08-16 |
| Lauren Harris         |        42 |                5 | helper    | 2027-08-16 |
| Amanda Warren         |        50 |                1 | security  | 2027-08-16 |
| Megan Griffin         |        30 |                4 | security  | 2027-08-16 |
| Isabella Ellis        |        34 |                2 | security  | 2027-08-16 |
| John Griffin          |        35 |                3 | security  | 2025-12-24 |
| Bryce Hunt            |        43 |                1 | security  | 2025-12-24 |
| Joshua Warren         |        29 |                3 | helper    | 2025-12-24 |
| Eli Hale              |        35 |                1 | technical | 2025-12-24 |
| Ava Hale              |        45 |                3 | helper    | 2025-12-24 |
| Robert Warren         |        47 |                3 | helper    | 2025-12-24 |
| Vivian Perez          |        36 |                5 | technical | 2025-12-24 |
| Faith Lewis           |        48 |                1 | security  | 2025-12-24 |
| Matthew Mitchell      |        33 |                5 | technical | 2025-12-24 |
| Luna Lee              |        50 |                2 | technical | 2025-12-24 |
| Leo Powell            |        44 |                4 | security  | 2025-12-24 |
| Jude Wright           |        34 |                5 | security  | 2025-12-24 |
| Stephanie Armstrong   |        32 |                3 | security  | 2025-12-24 |
| William Griffin       |        29 |                2 | helper    | 2025-12-24 |
| Sophia Roberts        |        37 |                2 | helper    | 2025-12-24 |
| Nicole Ray            |        46 |                2 | security  | 2025-12-24 |
| Charlotte Spencer     |        26 |                2 | security  | 2025-12-24 |
| Megan King            |        26 |                4 | helper    | 2025-12-24 |
| Camila Nelson         |        31 |                4 | security  | 2025-12-24 |
| Brittany Hamilton     |        29 |                3 | technical | 2025-12-24 |
| Sophia Scott          |        30 |                4 | security  | 2025-12-24 |
| John Hayes            |        27 |                1 | security  | 2025-12-24 |
| Brooklyn Wright       |        29 |                4 | helper    | 2025-12-24 |
| Brooklyn Spencer      |        25 |                5 | security  | 2025-12-24 |
| Mackenzie Johnson     |        26 |                2 | security  | 2025-12-24 |
| Cole Douglas          |        30 |                2 | technical | 2028-02-09 |
| Charlotte Young       |        42 |                3 | technical | 2028-02-09 |
| Benjamin Green        |        50 |                2 | security  | 2028-02-09 |
| Olivia Griffin        |        42 |                5 | helper    | 2028-02-09 |
| Liam Jenkins          |        32 |                1 | security  | 2028-02-09 |
| Isabel Thompson       |        49 |                1 | technical | 2028-02-09 |
| Noah Baker            |        35 |                1 | security  | 2028-02-09 |
| Naomi Smith           |        35 |                3 | security  | 2028-02-09 |
| Benjamin Lawson       |        37 |                4 | security  | 2028-02-09 |
| Naomi Douglas         |        36 |                3 | technical | 2028-02-09 |
| David Armstrong       |        37 |                4 | security  | 2028-02-09 |
| Brandon Martinez      |        33 |                2 | security  | 2028-02-09 |
| Sophia Sullivan       |        28 |                5 | helper    | 2028-02-09 |
| Liam Douglas          |        43 |                2 | security  | 2028-02-09 |
| Bryce Reed            |        25 |                1 | technical | 2028-02-09 |
| Luna Griffin          |        43 |                1 | security  | 2028-02-09 |
