+----------------------+----------+---------------+-------------------------------+-------------+
| name                 | nickname | date_of_birth | social_media                  | appearances |
| Carol Hunter         | Aleja    | 1984-10-25    | Instagram: @coreylawrence     |           2 |
| John Smith           | Madman   | 1985-05-16    | Facebook: The Madman          |           2 |
| Scott Robertson      | NULL     | 1970-08-21    | Facebook: @zimmermanjessica   |           2 |
| Megan Davis          | Meg      | 1992-10-02    | NULL                          |           2 |
| Henry Scott          | Hank     | 1990-08-26    | Facebook: HankRockBlues       |           2 |
| Zoe Stevens          | Z        | 1990-08-13    | Facebook: ZoeRock             |           1 |
| Sophia Williams      | NULL     | 1991-06-16    | Facebook: SophiaPop           |           1 |
| Kendra Morgan        | Calvi    | 1999-04-01    | Instagram: @diazhenry         |           1 |
| Olivia Turner        | NULL     | 1996-09-05    | Twitter: @OliviaSwing         |           1 |
| Lucas Lewis          | NULL     | 1983-02-11    | Facebook: LucasPostRock       |           1 |
| Jackie Lee           | NULL     | 1989-12-03    | Facebook: JackieGrunge        |           1 |
| Samuel Mitchell      | Sammy    | 1987-06-30    | Instagram: @SammyFolk         |           1 |
| Olivia Bennett       | NULL     | 1993-10-06    | Instagram: @OliviaPop         |           1 |
| Lynn Thomas          | NULL     | 2001-08-25    | Instagram: @jacquelineford    |           1 |
| Corey Johnson        | NULL     | 1966-10-04    | Twitter: @masonkendra         |           1 |
| William King         | NULL     | 1984-05-15    | Instagram: @WilliamKingMetal  |           1 |
| Ella Wright          | Ellie    | 1989-07-29    | NULL                          |           1 |
| Amelia Smith         | NULL     | 1990-05-03    | Instagram: @AmeliaIndie       |           1 |
| Leo Ramirez          | LRam     | 1987-11-22    | Instagram: @leojazzvibes      |           1 |
| Nathan Scott         | Nate     | 1990-03-08    | Instagram: @NateThrash        |           1 |
| Daniel Garcia        | Danny G  | 1979-04-28    | Instagram: @DannyGReggae      |           1 |
| Rebecca Fleming      | NULL     | 2003-08-20    | Facebook: @patelsarah         |           1 |
| Isabella Robinson    | NULL     | 1994-03-13    | Twitter: @IsabellaPop         |           1 |
| William Green        | Will     | 1986-05-22    | NULL                          |           1 |
| Olivia Scott         | NULL     | 1995-02-12    | Twitter: @OliviaFolk          |           1 |
| Jennifer Martinez    | NULL     | 1982-01-22    | Facebook: @xpeterson          |           1 |
| Evelyn Davis         | NULL     | 1996-05-12    | Facebook: EvelynPop           |           1 |
| Mia Davis            | NULL     | 1992-09-21    | Facebook: MiaDavisOfficial    |           1 |
| Samuel Carter        | Sammy    | 1991-01-20    | NULL                          |           1 |
| Maxwell Clark        | Max      | 1985-01-18    | Twitter: @MaxDeltaBlues       |           1 |
| Jeffrey Lamb         | NULL     | 1999-04-11    | Instagram: @nicholascollier   |           1 |
| James Smith          | Big Jim  | 1996-02-25    | Twitter: @BigJimRocks         |           1 |
| James Johnson        | JJ       | 1985-04-18    | Twitter: @JJHardcore          |           1 |
| Marilyn Brown        | NULL     | 1968-06-19    | NULL                          |           1 |
| Ava King             | Av       | 1993-09-10    | NULL                          |           1 |
| Robin Baker          | NULL     | 1968-09-25    | Facebook: @oskinner           |           1 |
| Timothy Lopez        | Ashle    | 1992-02-07    | NULL                          |           1 |
| Oliver Green         | Oli      | 1990-05-12    | Facebook: OliGreenMusic       |           0 |
| Tonya Smith          | James    | 2003-03-14    | Twitter: @nfoley              |           0 |
| John Davis           | NULL     | 1987-10-28    | Instagram: @JohnJazz          |           0 |
| Christopher Fields   | Eric     | 1971-11-03    | Twitter: @imartinez           |           0 |
| Danielle Gilbert     | Jorda    | 1993-03-05    | Twitter: @devonjohnson        |           0 |
| Laura Hale           | Joshu    | 1995-01-20    | Instagram: @christopher11     |           0 |
| Kenneth Goodman      | Kelly    | 1984-07-16    | Twitter: @bfields             |           0 |
| Antonio Nguyen       | Linda    | 1978-11-05    | Twitter: @paulnguyen          |           0 |
| Emily White          | NULL     | 1987-08-10    | Instagram: @EmWhiteMusic      |           0 |
| William Ware         | NULL     | 1998-04-28    | Twitter: @rebecca65           |           0 |
| Liam Johnson         | LJ       | 1986-01-23    | Instagram: @LiamJazz          |           0 |
| Jaime Stephens       | Chris    | 2003-05-19    | Instagram: @brittany86        |           0 |
| Dean Wells           | Austi    | 2004-11-07    | Twitter: @kfisher             |           0 |
| Grace Lewis          | NULL     | 1993-09-30    | Twitter: @GracePop            |           0 |
| Michael Castro       | NULL     | 1997-06-09    | Twitter: @jameskelly          |           0 |
| Ava Martin           | Avi      | 1990-06-19    | Twitter: @AvaMartinMusic      |           0 |
| Chloe Martinez       | NULL     | 1994-03-21    | Instagram: @ChloeMartinez     |           0 |
| Ella Parker          | Ellie    | 1996-12-11    | Facebook: EllieParkerOfficial |           0 |
| Tyler Lopez          | Lori     | 1995-11-06    | NULL                          |           0 |
| Benjamin Walker      | BenW     | 1980-12-24    | Twitter: @BenWMetal           |           0 |
+----------------------+----------+---------------+-------------------------------+-------------+
